date,description,amount,balance
2024-11-16,Water Bill,-11985,-1636246.0
2024-12-25,Unknown,-10597,-2185832.0
2024-11-24,Airtime Recharge,-3908,-1669133.0
2024-09-05,POS Purchase,-7153,
2024-12-09,Loan Repayment,-15000,-2328765.0
2024-12-08,Gym Membership,-6944,-2307448.0
2024-08-18,Restaurant,-2799,-777591.0
2024-11-14,Fuel Station,-5955,-1576546.0
2024-11-25,Medical Expense,-10161,
2024-07-16,,-2682,-286753.0
2024-11-14,Water Bill,-11026,-1570591.0
2024-12-08,,-820,
2024-09-06,ATM Withdrawal,-5000,-312857.0
2024-07-05,Transfer Out,-4720,-185875.0
2024-09-23,Grocery Store,-14146,-788479.0
2024-11-10,Fuel Station,-6157,
2024-08-12,Fuel Station,-10666,-416500.0
2024-09-12,Medical Expense,-7462,
2024-08-18,POS Purchase,-12932,-792541.0
2024-10-15,,-1191,-1284406.0
2024-10-23,Supermarket,-3300,-1325801.0
2024-11-19,Netflix Subscription,-3957,-1514075.0
2024-10-01,Medical Expense,-3242,-972970.0
2024-09-22,Fuel Station,-7723,-752025.0
2024-08-03,Restaurant,-14793,
2024-07-26,Loan Repayment,-10000,-230608.0
2024-10-12,Loan Repayment,-15000,-1187111.0
2024-07-24,Medical Expense,-9857,-311893.0
2024-11-10,Netflix Subscription,710,-1374005.0
2024-09-29,Spotify Subscription,-14734,-893455.0
2024-08-26,School Fees,-45000,-515553.0
2024-11-11,Water Bill,-11052,-1500626.0
2024-07-31,POS Purchase,2643,-395784.0
2024-12-24,Cash Withdrawal,-20000,-2341237.0
2024-07-05,Transfer Out,-6652,-181155.0
2024-07-20,POS,-1957,-455332.0
2024-07-27,Fuel Station,-10501,-276971.0
2024-09-11,Loan Repayment,-15000,-400635.0
2024-11-02,Loan Repayment,-15000,-1507088.0
2024-07-27,Medical Expense,-9802,-236924.0
